has_mcq,reading_time_avg,grade_level_sum,story_type,freadom_point,reading_count,view_count,like_count,is_published,mcq,landscape,experience_count,view_count-level_1:easy,view_count-level_1:hard,view_count-level_2:easy,view_count-level_2:hard,view_count-level_3:easy,view_count-level_3:hard,view_count-level_4:easy,view_count-level_4:hard,view_count-level_5:easy,view_count-level_5:hard,view_count-level_6:easy,view_count-level_6:hard,view_count-level_7:easy,view_count-level_7:hard,view_count-level_8:hard,view_count-level_9:easy,view_count-level_9:hard,completed_count-level_8:easy,completed_count-level_1:easy,completed_count-level_1:hard,completed_count-level_2:easy,completed_count-level_2:hard,completed_count-level_3:easy,completed_count-level_3:hard,completed_count-level_4:easy,completed_count-level_4:hard,completed_count-level_5:easy,completed_count-level_5:hard,completed_count-level_6:easy,completed_count-level_6:hard,completed_count-level_7:easy,completed_count-level_7:hard,completed_count-level_8:hard,completed_count-level_9:easy,completed_count-level_9:hard,reading_time_avg,grade_level_sum,story_id_code
True,7.5,9.0,read,0,2132,2754,256,True,True,False,99,0,0,0,4,50,64,30,363,402,616,338,587,62,245,0.0,0.0,0.0,0.0,0,0,0,4,18,49,11,261,234,485,229,530,54,228,0.0,0.0,0.0,7.5,9.0,1159
True,7.5,7.0,read,0,990,1375,126,False,True,False,65,13,11,86,92,80,122,73,228,152,260,45,156,2,12,0.0,0.0,0.0,0.0,5,4,48,73,34,101,42,187,83,209,28,130,1,10,0.0,0.0,0.0,7.5,7.0,429
True,12.5,5.5,read,1000,1488,1990,171,True,True,False,78,0,1,1,106,115,392,250,551,87,257,91,84,4,22,0.0,0.0,0.0,0.0,0,1,1,92,58,319,128,419,51,227,65,70,4,20,0.0,0.0,0.0,12.5,5.5,514
True,3.5,4.5,listen,0,4068,6387,700,True,True,False,118,2,3,255,459,708,901,1277,1373,376,627,140,151,37,54,0.0,0.0,0.0,0.0,1,3,81,295,359,630,672,955,243,484,97,120,29,45,0.0,0.0,0.0,3.5,4.5,860
True,7.5,7.5,read,0,3207,4507,341,True,True,False,138,0,1,1,7,1,75,333,530,527,876,616,932,175,378,0.0,0.0,0.0,0.0,0,1,1,5,0,50,158,369,288,660,389,769,126,333,0.0,0.0,0.0,7.5,7.5,311
True,3.5,7.5,listen,0,11800,19504,2231,True,True,False,392,1,31,3,139,302,958,3202,2363,5377,2925,2391,1347,263,243,0.0,0.0,0.0,1.0,0,19,2,84,152,624,1746,1558,2925,1945,1352,963,152,190,0.0,0.0,0.0,3.5,7.5,1922
True,7.5,8.5,read,0,2804,3904,301,True,True,False,142,1,0,0,0,0,0,1,343,612,775,507,747,418,495,0.0,0.0,0.0,0.0,1,0,0,0,0,0,1,256,303,577,328,620,267,422,0.0,0.0,0.0,7.5,8.5,688
True,7.5,11.5,read,0,1904,2594,235,True,True,False,79,1,1,0,124,66,329,178,450,114,279,311,229,358,158,0.0,0.0,0.0,1.0,1,1,0,103,33,280,103,370,67,229,194,180,201,117,0.0,0.0,0.0,7.5,11.5,1639
True,7.5,7.5,read,0,1352,1754,162,True,True,False,76,1,0,0,114,75,262,274,456,142,312,38,71,1,11,0.0,0.0,0.0,0.0,1,0,0,103,42,238,125,380,88,258,22,62,0,9,0.0,0.0,0.0,7.5,7.5,340
True,7.5,8.5,read,0,1065,1385,131,True,True,False,64,7,2,0,70,26,198,40,282,252,329,76,73,4,17,0.0,0.0,0.0,0.0,3,2,0,67,17,186,28,251,122,239,52,62,1,14,0.0,0.0,0.0,7.5,8.5,1031
