"user_index","child_id","item_rank","story_id"
74,14235,8,"146"
74,14235,9,"151"
74,14235,10,"170"
75,14426,1,"9"
75,14426,2,"14"
75,14426,3,"41"
75,14426,4,"68"
75,14426,5,"75"
75,14426,6,"82"
75,14426,7,"109"
75,14426,8,"142"
75,14426,9,"280"
75,14426,10,"570"
76,14495,1,"24"
76,14495,2,"34"
76,14495,3,"60"
76,14495,4,"63"
76,14495,5,"77"
76,14495,6,"95"
76,14495,7,"96"
76,14495,8,"146"
76,14495,9,"151"
76,14495,10,"170"
77,14535,1,"24"
77,14535,2,"34"
77,14535,3,"60"
77,14535,4,"63"
77,14535,5,"77"
77,14535,6,"95"
77,14535,7,"96"
77,14535,8,"146"
77,14535,9,"151"
77,14535,10,"170"
78,15006,1,"24"
78,15006,2,"34"
78,15006,3,"60"
78,15006,4,"63"
78,15006,5,"77"
78,15006,6,"95"
78,15006,7,"96"
78,15006,8,"146"
78,15006,9,"151"
78,15006,10,"170"
79,15077,1,"24"
79,15077,2,"34"
79,15077,3,"60"
79,15077,4,"63"
79,15077,5,"77"
79,15077,6,"95"
79,15077,7,"96"
79,15077,8,"146"
79,15077,9,"151"
79,15077,10,"170"
80,15166,1,"24"
80,15166,2,"34"
80,15166,3,"60"
80,15166,4,"63"
80,15166,5,"77"
80,15166,6,"95"
80,15166,7,"96"
80,15166,8,"146"
80,15166,9,"151"
80,15166,10,"170"
81,15197,1,"24"
81,15197,2,"34"
81,15197,3,"60"
81,15197,4,"63"
81,15197,5,"77"
81,15197,6,"95"
81,15197,7,"96"
81,15197,8,"146"
81,15197,9,"151"
81,15197,10,"170"
82,15238,1,"24"
82,15238,2,"34"
82,15238,3,"60"
82,15238,4,"63"
82,15238,5,"77"
82,15238,6,"95"
82,15238,7,"96"
82,15238,8,"146"
82,15238,9,"151"
82,15238,10,"170"
83,15323,1,"24"
83,15323,2,"34"
83,15323,3,"60"
83,15323,4,"63"
83,15323,5,"77"
83,15323,6,"95"
83,15323,7,"96"
83,15323,8,"146"
83,15323,9,"151"
83,15323,10,"170"
84,15524,1,"24"
84,15524,2,"34"
84,15524,3,"60"
84,15524,4,"63"
84,15524,5,"77"
84,15524,6,"95"
84,15524,7,"96"
84,15524,8,"146"
84,15524,9,"151"
84,15524,10,"170"
85,15708,1,"24"
85,15708,2,"34"
85,15708,3,"60"
85,15708,4,"63"
85,15708,5,"77"
85,15708,6,"95"
85,15708,7,"96"
85,15708,8,"146"
85,15708,9,"151"
85,15708,10,"194"
86,15922,1,"24"
86,15922,2,"34"
86,15922,3,"60"
86,15922,4,"63"
86,15922,5,"77"
86,15922,6,"95"
86,15922,7,"96"
86,15922,8,"146"
86,15922,9,"151"
86,15922,10,"170"
87,16325,1,"24"
87,16325,2,"34"
87,16325,3,"60"
87,16325,4,"63"
87,16325,5,"77"
87,16325,6,"95"
87,16325,7,"146"
87,16325,8,"151"
87,16325,9,"170"
87,16325,10,"194"
88,16378,1,"24"
88,16378,2,"34"
88,16378,3,"60"
88,16378,4,"63"
88,16378,5,"95"
88,16378,6,"146"
88,16378,7,"151"
88,16378,8,"170"
88,16378,9,"194"
88,16378,10,"196"
89,16875,1,"24"
89,16875,2,"34"
